Futures Contract, Date, Time,Notes,Good Moment (Y|N|N/A)?
/MCL,10/23/23,11:42 AM,"I ended the day with 10 trades an only $4 gross profit. Almost all of my profits from Friday were wiped out because of fees (fees are still a thing). The good news is that my overall account after fees is STILL PROFITABLE. So again, it's a learning process. Today was actually pretty awesome considering I didn't sleep well. I'm starting to notice a pattern of being up towards my goal and doing well and then messing up just before I reach my goal. I need to fix this. Also, I need to increase my goal to $100/day per contract. Today's lessons include making sure to always set my stop loss and exits in advance. Or at bare minimum, always set my stop losses. Then I can adjust my exits and do profit lockins if it makes sense. Today was a good profit lockin day! Also nice use of setting exit orders! Also, I learned that if price is outside of the range of the chart then I have to set entries/stop-losses/exits manually in the Order Ticket. Overall it was a good day because my account is still profitable despite a significant unexpected loss. Also I learned that a trade can go from a reasonable unrealized loss of ~$10 to ~$30 quickly! AGAIN, SET MY STOP LOSSES IN ADVANCE, ESPECIALLY ON BREAK OUTS. Another good thing was seeing that there truly is such a thing as a good entry. When I make good entries I tend to see price pull back to an unrealized loss of 0.01-0.05 only to have price come back around and the trade to execute profitably. The market requires patience. I ran out of patience on my final trade for the day and exited with $4 gross profit instead of $16 gross profit. Of course, after I exited, price fell through to $86 (and even lower!). I could have easily gotten $30 gross profit and made up for my fees, but my mind got tired. Also, I made $76 today in gross profit, despite losing about the same amount! So I need to increase my winners and decrease my losers with more effective risk management. I lost $72 today. And my win rate was 60% so I'm still winning about twice as often as I lose which is good! Have to keep going! ",N
/MCL,10/23/23,1:23 PM,"Reflection: The trade I lost ~$30 on today was a good trade. While I was aware of the downward trend of MCL, I also saw price bounce off the low for the day and that we were in a pull back before reaching new lows. What I thought would be true is that the same pullback would occur after price reached a new low. Yeah! And it's hard because this happened on my first trade! Price went to a new low so I went short and then had to cover at a loss. Price *bounced* when I thought it wouldn't. So the next time around, I thought price would bounce again, *and it didn't*. Better risk management would have prevented the ~$30 loss and kept it at $10-$15 (although it should have been a $5-10 loss at most). The thing I need to figure out is *What is happening?* *How can I know with increased accuracy whether price will bounce or break through?* Because price reached a balanced level where I felt a bounce would occur, and I tried the bounce multiple times! If I had thought about it like Carmine said to do, then I would have leaned towards the sell off continuing to occur where I had this loss because the low had been retested multiple times (i.e. there wouldn't have been as many orders at that price to do another bounce). Keep going!",Y
Monthly Reflection,10/23/23,8:11 PM,"Reflection: Feeling off track in terms of my trading goals, but I'm actually reasonably on track. The ToS fees have drained my account, eliminating net profit while my gross profit is actually positive (although just barely lol). In Ninja Trader, I've only traded two days so far and my account is still at a net profit *after* fees and an unexpected loss. Something to note is that if I had stopped trading when I was up $43 for the day with $33 net profit, I would be reasonably on track for ending the week at $200+ minimum gross profit and possibly net profit. So I have to keep focusing on reaching my goals and being okay with some losses along the way as I learn. Remember! It's a learning process!",Y
/MCL,10/24/23,8:22 AM,"Price is trending upward overall on the daily chart, with a pull back towards $84.00. Current price is $85.06. Still learning. I entered into a short trade as I saw price falling through. I automated my orders and got stopped out. Then the trade went through as I had planned so I had to re-enter at a lower price. Then my exit order got filled so I only got some of the profit. Then I re-entered and got stopped out. Currently at at -$9 gross loss, with -$17.16 net loss. Feeling *very* frustrated. Setting automated stops is stopping me out too often again ",N/A
/MCL,10/24/23,8:57 AM,"I am in a bad mood and I GOT CRUSHED TODAY. -$51.28 net loss so I decided to stop for now. I'll come back in an hour and see if I'm in the right mood to trade. My internet consumption affects my trading mood. NOTED. Also, setting automated stop losses and exits didn't help this morning. I kept getting stopped out too often again. Also, price moved so quickly that I couldn't move my stop losses to profit lock-in",N 
/MCL,10/24/23,9:08 AM,"My mood is starting to improve after eating veggies. I can only trade well when I'm in a good mood. I earned $10 gross profit which is clearing up some of my losses. What I've learned is that setting automated stops & exits isn't effective during standard market open when price is volatile. So I have to ask myself if I'm doing a volatility play or if it's a trend trade. Today I tried to do a trend trade while a volatility play was happening. Observe carefully what happened on this last trade: I was down almost $20 in unrealized loss and super frustrated because my entry was around a price level that kept recurring and it's a bearish day. When I enacted *patience*, price came back around and allowed me to profit. My exits were too far away from price during volatility so I ended up losing (again) on what otherwise would have been profitable trades had I exited while I was up during the volatility. Every day is different. My mood isn't always good. I have to keep going! When I return in an hour after resting some more & praying, I'll find some high quality trades. I'll give myself the grace of starting the trading day over with a clear mind. Remember, I'm now at a daily *net* loss of -$44.32. This is about 2% of my total account value. *Everything is fine* and I have to get back to consistent profits",N 
/MCL,10/24/23,10:16 AM,"I'm back and starting over! Of course my lack of patience cost me a nice trade lol. Price is down to $83.27, which totally makes sense because of the bearish trend! This time I will be more patient! Observe that my plan was good and that my execution earlier today was bad. If I had just held to 84, I could have set my stop at 85.50 and walked away with $100 profit today (in 1 trade, instead of losing $44.32 on 8 trades). ",N 
/MES,10/24/23,10:18 AM,Current price $4273. Price is still in a bearish daily trend although a pull-back may be forming. 1hr chart shows we're definitely in an upward pullback before more bearish prices. 15m chart shows price dropping from a high of $4283. Remember that price was recently at $4333. Price is likely heading back to $4242. 5m chart shows about the same thing. Price is currently trading at a balanced price level,N 
/MCL,10/24/23,10:29 AM,"Now that price has pulled back to ~$84 ($83.33), I'm expecting a rally to a new high of $93 over the next 5 days or so ",N 
/MCL,10/24/23,11:48 PM,"Overall a bad trading day. Starting over was good. I'm starting to see patterns where I need to improve. I had some quality trades after restarting. I got my account back to a gross loss of $1.25 and felt like I could bring my account back to a net profit with just a few more quality trades (which is true). Whenever I get into this mindset, then I stop focusing on what price is doing and start focusing on trying to be right. I lost $30 on a trade because of poor risk management because I wanted to be right about pricing selling from VWAP-ish back to $83. Price reversed and I didn't stop out. I'm still learning how to do this. When I add automated stops, I get stopped out right before my trade goes through as planned. When I don't stop out, price reverses and I lose $30. So I'm doing something wrong. So much of this feels like golf where I'm off just by a little bit on hitting the ball far. I overtraded today with 16 trades. Again, I have to watch my mood and what I consume before trading. Also, I need to start thinking in terms of wider price moves. Today if I had purchased at $83, I could have waited 30min to make $70+. So there is something to be said about being too granular. Also! This time when I entered a bullish trade after getting stopped out on a short trade, price kept going up for a bit! So there's something there as well!",N 
/MCL,10/24/23,12:08 PM,"I decided to try one more trade with an automated stop loss and exit. My stop loss got triggered, which leads me to believe that some weirdness is happening in the market. Need to think creatively about how to solve this. So my account is down $91.63 now. I have to remember that the market knows where the orders are and be very careful. All in all, my account is down around 5%, which is okay. It's twice as much as 2% risk, but it's not so bad. I can earn back my net loss in 2 days as long as I reach my goals. The trick is that there are weird things happening in the market + my bad execution that lead to losses today (mostly my bad execution). Although it's super weird how often price reverses after I enter, regardless of the trend direction. Also, my gross loss today is $57.25, which is around 3%, so remember that my account is okay and life is good! I live to trade another day! (I just need to find ways to combat whatever is happening in the market that is hindering my profitability)",N 
/MCL,10/24/23,12:55 PM,"I finally got a good trade in the simulator based on following the trend! Something weird happened with how I set my automated orders, but the core idea was there. I earned $124 in gross profit, and there's more to learn! I entered 10 contracts long around $83.87 and trusted the trend, placing my exit at $84. *The trade was 20min long*, not 2min, not 5min, *A Full 20min*. While these trades can happen faster, the point is that this quality trade (not random) required time to marinate. Also, *price increased* as soon as I got up from my computer and stopped trying to control things! So way more to learn, and I can start reducing risk around scaling by trading on the 15min scale with clear entries, exits, and stop losses rather than focusing on 0.10-0.20 scalps. They can still be scalps, just that they're materializing from clear price direction rather than volatility. Glad I tried scaling up in the simulator! It's easy to lose a lot of money quickly so that's something I'll have to really risk manage. Also, the market does what it wants lol. Also, scaling up comes with market effects! It's not a bulk order of 10 contracts all the time. Sometimes the order is split into smaller orders of 1 contracts, 3 contracts, etc. and that creates confusion around closing the contracts. Like when my limit order was reached, that's why multiple orders went through and there were still 3 positions open that I had to manually close. So I'll need to adapt to this",Y
/MCL,10/25/23,8:16 AM,"Today I'm in a good mood! Current MCL price is $84. On the daily chart MCL is bouncing at $84 and seems to be heading towards higher highs in the overall bullish trend. Today I want to be more patient and see if I can earn $100 in 2 trades. On the 1hr chart, price is poised for a bullish break out and is breaking through resistance at $84.14. Support at $83.17. On the 15m chart, price is oscillating around $83.60. Price is only bearish on the 5m chart, suggesting a good long entry soon. We will probably see price return to $85 today so if I'm patient I can capture this larger move with one trade instead of a bunch of trades. $85.12 is a good exit ",Y
Spiritual Advice,10/25/23,8:16 AM,PURCHASE MICROSOFT (start investing in microsoft for the long-term),Y
/MES,10/25/23,8:28 AM,"Price is trading in a balanced range over the past few days at $4253. Price has already tested and will probably retest $4200, with a recent low of $4213. We may see $4150 within another few days. On the 1hr chart price has support at $4240. And, from yesterday's really profitable trade, we know price has resistance at $4280. 15m chart shows another steep sell off happened just now from $4253 to $4240. 5m chart shows the same. Huge volume. Price has bounced off 4240 twice so far so while it's possible to see another bounce, it's more probable that price will fall through towards $4200",N
/MCL,10/25/23,9:04 AM,"I feel like my trades are getting worse. I want to say I just lost 3 trades where I set automated stops. In fairness, I was up $12 unrealized again on MCL and then got stopped out. What am I doing wrong in terms of aiming for higher profit trades? Why do I feel stuck at $10 trades with MCL?",N
/MES,10/25/23,9:05 AM,"No surprise here, got stopped out twice. MES is so hard for me to trade. The good news is that automated stops are super useful on MES because my losses have been limited. The bad news is: Where's my profit?",N
/MCL,10/25/23,9:38 AM,"I got crushed again. Stopping trading for the day. I have no idea what's happening. I sort of overtraded again with 11 trades. Today was just weird. None of my automated trades worked - I got stopped out each time. And all of a sudden this huge volume stepped in and price super sold off 0.30 in a second! All of my profit from yesterday's blessing trade of $60 has been wiped out and I'm down again. My plan was to end the week at $2200+ and I'm currently at $1897.58. What am I doing wrong? Also, timing again. As soon as I lost $20 on price selling off (even though I was saved from the large sell off), price is back up and I would have had a profitable trade. Why am I having difficulty reading the market now, when I was doing well? I need to refocus on supply & demand and wait for setups to occur. My biggest problem is trades reversing on me right after I enter ",N
/MCL,10/25/23,10:18 AM,"Every time I get crushed it causes me to focus on where I'm getting crushed and learn how to overcome it. I'm back to leveraging ATR! I read an article that said my automated stop losses aren't accounting for the natural volatility of the financial instrument, which makes sense! And that if I'm not trading clear trends then I'm trading volatility, which also makes sense that this is what I've been doing! Right now the 5m ATR of MCL is near 0.40! I've been setting my stops to at most 0.15 (aiming for 0.10) and intending to exit at 0.20 profit! If ATR is 0.40, up from 0.25, then even a 0.15 stop is likely to be triggered! So! Stop setting my stops too low and get back to trends and supply & demand! PRACTICE IN THE SIMULATOR!",Y
/MCL,10/25/23,12:09 AM,"Got it! Yeah, I have to shift from volatility back to trends and supply & demand. I entered in the simulator at $84.35 and price went up to a high of $84.88, hitting resistance 3x! This was easily a $50 profit trade! Which is a reminder that the high-quality trades are there when I focus on patience, trends, and supply & demand. The trades are not there (low-quality) when I become undisciplined and make volatility plays. Now, know that this trade went from a winning trade to a losing trade so that reminds me to add a trailing stop! But rememember, if the trailing stop doesn't account for volatility I'll get profit locked into the trade too early. Remember that this is what happened to me on AAPL back in 2017. KEEP GOING! Imagine $200 a day in net profit from 1 contract! Today could have easily been a $500 day if I scaled up and had managed the trade from a profit lockin standpoint. Oh! Actually, weirdness happened lol and it's a good weird this time! Somehow huge volume stepped in and my exit was hit! So actually I profited $66 after an hour trade! #learning  ",Y
/MCL,10/26/23,8:41 AM,"I'm back! MCL is currently at $83.40 and price is still in a pull back on the daily chart (while the overall trend is still bullish). Price in a way has been trading sideways during October after peaking at $92 on 9/28. On the 1hr chart, price is very much in this pull back that started on 10/20. Today is a really good supply & demand day. There's strong demand between $82-82.50 and strong demand at $86. 15m chart shows nice bullish movement through the demand zone I drew. Same with 5m chart. If price breaks through the zone with momentum, I'll go long towards $85 again.   ",Y
/MCL,10/26/23,10:11 AM,"I placed a nice, quality bullish supply & demand trade and got stopped out. Price couldn't get the gas when I entered to keep climbing higher towards $85. What I liked about this trade is that I set my stop loss at just a bit more than ATR, which did prevent getting stopped out due to volatility. So when I got stopped out, I knew price wasn't heading in the direction of my plan at that time. Price fell to $83.65, which feels way more comforting than price reversing as soon as I got stopped out. ATR has merit to it for setting stop losses! ",Y
/MES,10/26/23,10:13 AM,Price did eventually reach $4200 and is now at $4180! ,Y
Account issue,10/26/23,10:14 AM,This morning Ninja Trader placed a liquidation-only restriction on my live trading account due to missing documents or something. This may be a blessing. I am leveraging the time while waiting to sort through my account to trade within the simulator ,Y
Improvement area,10/26/23,10:19 AM,Something I would like to improve on is being able to juggle multiple positions well. I missed the MES move to $4200 (although there was a gap down that caused this) ,Y
Platform Change,10/26/23,10:26 AM,"Ninja Trader is having website issues that are preventing me from trading in the simulator now. I wonder if Ninja Trader is stable/reliable? Imagine if I had an open trade right now that I was losing on and couldn't access the web trading platform to stop my loss? Also, Ninja Trader seems to have removed my access entirely while my account is being reviewed? Or the site is down? There's a risk here! Of course, if I wanted to I can still trade on ThinkOrSwim or Interactive Brokers. and Yet there's a risk! I will have to wait (and maybe go on a break). Interactive brokers has higher margins than ToS and higher fees (although I can practice)",N/A
/MCL,10/26/23,12:10 PM,"I finally got a good trade in the simulator! My larger supply & demand plan didn't work so I had to adjust to a smaller range-trading supply & demand trade and earned $33 profit from this trade! What I liked about it was experiencing the ups & downs of a high-quality trade. Price went up to $83.99 ($0.06 lower than my exit!) and fell back down and yet my stop wasn't reached this time. Price hovered around my entry and eventually came back up and hit my exit! *Seeing it helps*! Because, just as I've been telling myself that the market is not a straight line up & to the right, *experiencing it* feels different. It's much more like a probability space with many oscillations. I believe the key is knowing the oscillations that are happening on each time scale and the indications that they'll repeat!",Y
/MES,10/26/23,12:33 PM,"Got it! Made a nice $37.50 profit on a high quality trade, based on the trend! The ATR really works so far because it adjusts my trading to be closer in alignment with reality. Instead of being frustrated at getting stopped out because emotionally I can't handle say a $20 unrealized loss, I'm now finding a $20 unrealized loss to be comfortable *because it's within ATR*. So instead of setting my stop losses emotionally, I'm now setting them to flow with the expectation of volatility. If it had been up to my emotions, especially not knowing MES so well yet, I would have set my stop loss at $4163 to only have a $10 loss. Instead, I set a nice stop loss at $4170 that was never reached and waited *patiently* for price to fall through $4150. I ended up not being fully patient haha because I have other things I want to do today so I closed early for a profit. The trading day ended well with $3.76 net profit! Even though it's the simulator it still counts! ",Y
Daily Reflection,10/26/23,12:42 PM,"I did 6 trades today in the simulator and made a *tiny* net profit! This is much better than my recent days and I'm starting to see the bigger picture of trends now! Trading requires *so much patience*. Even when trading plans are good and trades are high quality, it takes time for price movement to unfold! ",Y
/MCL,10/27/23,9:15 AM,"Today I'm trading in the simulator to get my groove/edge back! In many ways, I'm ending the month down ~$100 instead of up $1000. This is bad. At the same time, yesterday's Ninja Trader meeting taught me that the process of becoming a good trader requires 9-12 months, not 1 month. So I'm dealing with the reality and continuing to improve! On the Daily chart, price is at $83.80 and trading within a consolidation range of $82 - $85.50. On the 1hr chart, price reached a high of $85.36 at 4am and again at 5am – solid resistance. Price also has support at $83. On the 15m chart, price is having difficulty breaking through $84.10. I may have entered a trade too early. 5m chart shows heavy resistance right at where I bought at $84.05. We'll see how this trade turns out. I set my exit at a $50 profit and my stop at a $20 loss. ATR is at 0.60 today! So the chances of getting stopped are high... and I just got stopped out lol. ",N 
/MES,10/27/23,9:38 AM,"On the daily chart, price is consolidating around $4160 again. Price bounced off $4150 yesterday instead of reaching $4135. The overall trend is still bearish, yet price may pull back and climb higher before falling through 4150 to 4135 and 4100. On the 1hr chart there's resistance at $4185 and support at $4150. Price may fall through $4150 next time it's retested. 15m chart shows a daily downtrend. I want to go long because there's bullish movement happening on 15m and 5m, but the top of the current candle hit the low of the 6:45 am candle at 4161 and reversed from it. So going long seems like not a good idea. At least not unless price breaks above 4164 ",Y
MCL,10/27/23,9:53 AM,"MCL totally got me just like Adam Fiske said! Anticipation! Price stopped me out at 83.80, went to a low of 83.35 and is now back up to 83.67. The truth is that ATR is pretty high today, even on 5m. I set my stop at 0.20 loss while ATR is at 0.32. So that says ",N
/MES,10/27/23,10:34 AM,"Re-entering a trade after a profit lock-in is similar to a scale in! (But it's not because the contract size is the same). Also, remember that Adam Fiske said trading 1 contract won't give someone an edge! Need to trade multiple contract sizes",Y
/MES,10/27/23,10:37 AM,The dopamine thing is true! Adam is right! I re-entered after a winning trade (because of dopamine) and now I'm losing on this trade more than I profited!,Y
Daily Reflection,10/27/23,11:18 AM,"I need to trade in the simulator until I get back to consistent wins! (Hopefully next week!). My total profit today was $52.25, with a solid $11 profit lock-in on MCL (where I lost *consistently* today) and two really quality $20+ profit trades on MES! My final trade on MES was low quality in terms of entry and good in terms of risk management. So I didn't stop out on this one and ended up with an unrealized loss of $30 which scared me. That said, I know MES is currently bearish and on the 5m chart I was able to see that the $30 unrealized loss was from a reversal of the sigifnicant sell off and that it had lost momentum. So I held onto the trade. Then the market messed with me multiple times lol. I set my stop at exactly $20 profit and it feels like the market doesn't like when my $20 profit trades go through haha. The market will give me $60+ at random, but when I set my exit it says no haha. So I set my stop at 4158 and the market kept bouncing at 4158.50 and also 4162, where I opened my position haha. Finally the market came through and reached my exit! Thank God! On the MCL side I lost consistently on nearly all of my trades. 5 trades in a row reversed on me! And when I checked candle sticks afterwards I saw that price direction was not clear. Just had a mistake on MES where I forgot to cancel an order entry! I have to remember to do this! And now I'm in a losing trade and I couldn't remember whether it was a short trade or a long trade (it was my original exit (buy to close)). It bought to open since I didn't have an open position lol. Anyway, great learning day! God helped me on that accidental trade and I exited around break-even afer fees!",Y
/MCL,10/30/23,8:57 AM,"I'm trading in the simulator to take trading seriously. Because the Ninja Trader simulator appears to behave exactly like the live market, it's a wonderful practice environment while I'm learning. Today I'm returning to catalysts because I can seee now they are important. MCL is currently priced at $84.11 and is trading in a consolidated range (STILL) roughly between $84-$85, which has been true since 10/25. So MCL isn't in play right now, or it could be said that MCL is range trading, rather than trend trading. This is probably what contributed most to ending the previous week with a loss. On 1hr chart there's not much MCL activity today. There was a sell off from $84.80 to $83.65 that happened from 5am to 8am and now price is bouncing. It's enough to capture ~$100 for the day so it's enough to capture $50 for the day, but here's the problem: 1hr ATR is at 0.57 so even if I were able to capture $100 or even $50, my stop loss would need to be at 0.60 to account for volatility, which says that I would need to have a clear trend with at least 1.20 in price movement to make the trade worthwhile. Otherwise I'll just get stopped out. 15m chart shows choppiness starting at 8am: A bullish candle with a high of 84.28 & a low of 83.65 and followed by a bearish candle with a high of 84.37 & 83.78. 5m chart shows price bouncing at support around 83.70 and I just felt *anticipation*! Yeah, like Adam said, I want to go long now that price is bouncing, even though I just wrote that MCL is in play. It's the 5m 0.212 ATR that is captivating me. It's got me thinking I can risk ~$20 for $40+ without verifying what the market is doing. ",Y
/MES,10/30/23,9:18 AM,"MES is very much in play with a clear bearish trend on the daily chart. Why is it in play? What news is causing people to sell? Current price is $4163. Price just keeps breaking to lower lows & lower highs. It's actually pretty interesting that I've lost money while live trading MES because the trend is so strong. There are bullish rallies happening while the rips are happening, but this is an instrument where if I had just short sold on 10/12 from $4400, I would have ~240 * $5 = $1200 in profit right now! Of course, this requires swing trading instead of intraday trading. Still, if I had just done that and pruchased 10 contracts, I would have ended this month with $12k in profit! KEEP GOING! 1hr chart shows really interesting price movement, with price hitting a new low of $4122 on 10/27 at 2pm and price sort of recovering from that and now bouncing. Price reached a high of $4184 today during 8am-9am and has since sold off back to $4160. On 15m chart there's heavy volume (~60,000 contracts exchanged so far). On 5m chart price is trying to push back up and bounce off demand. Can it? Observe that this is where I feel the most joy in trading. There are a bunch of people trading and we're all trading democratically and trying to figure out what direction we want to push price in. There are buyers & sellers and we're trying to see who will win. It feels less about trying to target and exploit specific traders based on vulnerabilities. Keep it fun! This is why people trade the large futures indexes. A good plan is to add in the MYM and MNQ and also MNG (because natural gas is cool! and I need it to heat my home/cook my food haha))",Y
/MES,10/30/23,9:34 AM,"I'm aiming for a bullish move back towards 4175 today because price is oversold at 4160 and 4184 is the top of the range.I may have entered too early. Also, I accidentally opened a position with 2 contracts instead of 1 lol. I entered at 4160, set my stop at 4155, which aligns with 5m ATR, and I set my exit at 4175.25. So if all goes well, I'll end up with revenue of ~15 * 5 = 75 * 2 = $150. And if I get stopped out, then it's a loss of ~5 * 5 = 25 * 2 = $50 (very reasonable trade!). Just have to wait now. Remember, RSI is at ~25 so the instrument is oversold. That said, we'll see what price does ",Y
/MES,10/30/23,9:54 AM,"I have to start thinking more like a trader. It's true that other traders are reading what other traders are doing. I set a reasonable stop where I would have lost ~$50. Price hit my stop! And then, like Adam Fiske said, price climbed up right after it hit my stop. I was fortunate in that I saw the bullish momentum and re-entered at 4160. Then I siked myself and exited for $52.50, which was exactly what I had lost, bringing my gross P&L to $0 lol. The good news is that my roundtrip fee on trading *2* contracts was only ~$3.50! ",Y
Daily Reflection,10/30/23,10:58 AM,"TODAY WAS REALLY GOOD! Of course, there are still *many* improvements that I need to make! I like that I traded seriously in the simulator. It also turns out that the Ninja Trader simulator is a great place for me to be now while I'm learning. In truth, while I was bummed about the $100 I lost ($45 in trades, ~$60 in fees), it turns out that had I earned $1000 in profit this month (profit, not revenue), it still wouldn't be enough ***yet*** to cover my expenses in a meaningful way. Covering expenses and beyond is really going to come from scaling, which has to come from knowing myself & knowing what to expect from the market. What I loved about today is that I tried some new things. I tried scaling to 2 contracts per trade instead of 1 contract per trade. This actually didn't go as well as I expected because my earnings didn't scale with the number of contracts (which is surprising). I earned a profit of $41 today and a net profit (after fees) of $23.60. AND I DECIDED TO STOP THERE because of what Adam Fiske said about the dopamine hit thing. I'm here to learn & win & be succesful & help other people become successful at multiplying their money. I'm not here in the market for dopamine hits. That said, this is back to what the Apostle Paul wrote about in Romans: The Spirit has good intentions. The body is filled with Sin. So the Sin in me is here for dopamine hits and that's a reality I have to deal with. What was really cool about today was starting to learn about how liquidity works, based on what Adam Fiske shared. What he shared is true! The market found my stop orders on my initial trade and it stopped me out for a loss of ~$50, which I was happy to accept based on my trading plan. What I didn't like was that I felt exploited because price went back up as soon as my stops were triggered. So it told me that other traders were searching for that kind of play. Anyway, I re-entered for a nice bullish trade (my original trade) and got my money back with a ~$50 profit! Then I felt like I knew what was going on so I started playing based on the rules of the game. I re-entered MES at a high, where I shouldn't have, based on bullish volume. Price sold off from there and I didn't stop out because I had seen the ranges of the day and had a strong feeling price would return to where my trade was profitable (and not much beyond that). So I waited ***patiently*** and was able to exit this trade for a tiny profit of say $5 (so a net profit of $1.50). Also, *I started exploring other futures instruments that have **large volume***. What I'm starting to learn is that I enjoy social trading! I like when there are many people trading and how we can trade democratically. So I had success on trading the MYM (micro e-mini Dow Jones futures) today based on trends! This is an interesting instrument because it seems to have a multiple of 0.50 per 1.00 price movement and yet price moves a lot. I also added the MNQ (micro nasdaq 100 futures) and NG (natural gas futures) to my portfolio/watch list. I was awe struck to find that the MES is really just the MNQ! It tells me that Big Tech is really driving the US economy (currently), which is reassuring because I'm an experienced & competitive software engineer. I just need to keep focusing on serving God and helping others with my gifts. Natural gas is pretty interesting because prices have actually fallen off 50% this year! Commodities such as MCL and NG have less trading volume and are harder to tell whether or not they're in play. Like MCL wasn't in play this morning when I created my trading plan. Then, while I was off in MES land, MCL became in play somehow and I wasn't sure why. All of a sudden there was a clear bearish trend for the day. This is bad because it was actually very easy for me to see the trends today on MES and MYM and trade both at the same time. Whereas MCL I was like, ""What changed within the few minutes after I made my plan???"" Anyway, amazing trading day in terms of growth! Adam Fiske is right about hiding P&L and focusing on trade quality because I ended up anchoring to my daily goal of $50 instead of letting my winners run. All good lessons to learn. I'm super excited to keep learning & growing, and loving the process. I love what Kobe Bryant & Kevin Hart said: ""It's not really the results that ultimately matter; It's the person you grow into along the way who's able to achieve the results that matters."" So I'm happy to be growing into the person I want to become! And I'm happy when others join me on the journey, like Yang and Chuchu!   ",Y
/MCL,10/31/23,9:11 AM,"Feeling heart-broken today because of the beautiful people I know who are sharing how they've been mistreated by others and because of the lives lost in Maine to yet another mass shooting that could have been prevented. And now I know what I have to do with The Fin Tea. I have my why: It's to make sure love, peace, kindness, & respect remain in this world. I'll go through whatever trading losses or battles or hell I have to go through to make sure that beautiful people have the resources they need to keep radiating love, peace, kindness, & respect within the world",N 
/MCL,10/31/23,9:16 AM,"MCL actually had a sell off yesterday and may be back in play. Price has consolidated again, now at $83, reaching a low of $81.82 yesterday. On the 1hr chart, price sold off at 8am, retesting the 10/30 12pm low of 81.82 with a low of 81.91 that was rejected. Price is now back up at 83.12 with ""VWAP"" (triangle average price) being around 82.80. On the 15m chart, the dip into the high 81's ended up being a good entry. On the 5m chart, price is falling off now after the bullish momentum and seems to be heading back to VWAP. I went short for a 2:1 trade from $83 back to $82.50, setting my stop at $83.25",N/A
/MES,10/31/23,9:27 AM,"Price has consolidated around $4185 (sort of) after yesterday's bullish momentum. It actually looks like we're in a bullish rally before another rip on the daily chart. Price still has an overall bearish trend. Somehow I have an open position of 2 contracts at 4175 that I thought I canceled yesterday (AGAIN, BE CAREFUL ABOUT THIS & LEARN HOW TO DO OCO IN NINJA TRADER). On the 1hr chart, price is definitely in a rally, with a significant bullish reversal from 4174 to 4192 at 3am and a significant sell off from 4194 to 4172 at 8am. On the 15m chart, price is starting to come back down to 4170 with slightly bearish price movement after reaching a high of 4199. It feels like a range trading day. 5m chart shows further confirmation of a sell off back to 4170. I will hold until price comes back around. Also, I'm starting to remember that within the cycles there are many good prices to buy & sell at - the question *is* actually whether or not it makes sense to buy/sell at a certain point within a cycle ",N 
/MYM,10/31/23,9:37 AM,The dow feels consolidated at 32952 after significant bullish price movement yesterday on the daily chart. The dow is also in an overall bearish downtrend. On the 1hr chart there's consolidation around 33024 that happened on 10/30 @ 1pm. Then volume kicked in @ 3am for a high of 33221 at 5am and now we're seeing a sell off to 32868 with a bullish bounce back to 33000. On 15m price consolidated at 9:15am. We may see a bullish breakout from 33000 back to 33221. Or price may slide back to 32868. Waiting for an entrance,Y
/MCL,10/31/23,9:50 AM,Nice $15 profit on what I would have wanted to be at least a $20 profit trade. *Patience is key*. Especially with the volatility on MCL. I covered early because price bounced off support at 82.80 instead of falling through. And it was a good idea because the market did a fake after I covered to get more liquidity. Price dipped down to high 82.60s/low 82.70s making it seem like a further sell off would occur only to bounce back up to what is now 82.90. Sometimes it's good to know when to cover a trade and accept that the original plan didn't work ,Y
/MES,10/31/23,9:54 AM,"MES is pushing higher lol, but it's facing resistance at 4200. I regret not closing my automated sell limit orders lol. AND IT'S A GOOD LEARNING LESSON. That said, I will wait for the cycle ",N 
Daily Reflection,10/31/23,11:21 AM,"Today I'm up $221 gross profit, and $205 net profit in the simulator! I have an unrealized loss of ~$90 on MES that will soon clear. It's my heart. I have a reason now to fight: to make sure beautiful people have the resources they need to keep sharing their light so that more of us feel loved, respected, appreciated, and more. I finally understand that our personal *why* is the *Cookie Jar* David Goggins speaks about. Our *why* isn't about joy & happiness per say. It's about the pain we're willing to endure to get there. It's being on mile 60 of an ultra marathon feeling like your body is about to collapse and wondering *why* you even signed up. I love this world. I love the beauty we had when I was growing up - when people were united & kind to each other. It wasn't perfect... and I was also mistreated by people from time to time. Yet I was surrounded by so many good people who I would have loved to be role models for my future kids. And it's disappearing. With every attack someone beautiful & creative faces, their light dims. And I'll willingly sacrifice myself if I have to in order to keep the light bright. Today I tapped into full leverage on natural gas futures and I see now how life-changing it is! (Of course, with every significant profit there's a chance of a significant loss so I have to be careful). Yet, now I see it! I'm also starting to see the cycles more clearly and have more patience, which is super important for The Fin Tea and risk management. The question is: ""How long can you wait?"" With FCEL I found that waiting 5 years feels like too much even though I decided to hold. With trading futures I've been very impatient and have gotten into a bad habit of ""Oh the trade has to go through within the next 10min or I have to stop out."" Now I'm starting to see that if I pay attention to the bigger, overall picture, it's okay to endure some urealized losses on the way to profits. I don't know why I didn't close my automated MES orders. And while price is going up in the short-term, within a day it's likely that my orders to cover my position will go through at a small profit because the overall trend is bearish ",N 
